User,Type,Screenshot,Order,Video,Channels,Verified ,Bias Rating,Factual,MBFC Credibility Rating
No Account ,Control,Search,2,election results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
No Account ,Control,Search,3,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
No Account ,Control,Search,4,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
No Account ,Control,Search,5,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
No Account ,Control,R1,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
No Account ,Control,R1,2,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,Nbc news ,,left-center,high,high
No Account ,Control,R1,3,"relaxing jazz music & coffee shop music ambience w/ Background Music for Stress Relief, Study, Work",coffee shop ambience ,0,,,
No Account ,Control,R1,4,Rainy Jazz with Relaxing Jazz Music | Coffee Shop Music Ambience and Rain Sounds,coffee shop ambience ,0,,,
No Account ,Control,R1,5,cnbc host reveals why he left fox news,cnn,,left ,mixed,medium
No Account ,Control,R1,6,history of the center of the universe - solar system,touch your heart,0,,,
No Account ,Control,R2,1,covid vaccine: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R2,2,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,Nbc news ,,left-center,high,high
No Account ,Control,R2,3,investigating the impact of osama bin laden's death had on US Navy SEALS,cbs news,,left-center,high,high
No Account ,Control,R2,4,secretary of state antony blinken: the 60 minutes interview,60 minutes ,,left-center,high,high
No Account ,Control,R2,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
No Account ,Control,R2,6,i told you so: trump's former attorney says he warned Giuliani,cnn,,left ,mixed,medium
No Account ,Control,R3,1,tucker carlson: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R3,2,john oliver takes the colbert questionert,the late show with stephen colbert ,,,,
No Account ,Control,R3,3,new rule: crypto mania! | real time with bill maher (HBO_,real time with bill maher,,,,
No Account ,Control,R3,4,bankruptcy: last week tonight with john oliver (HBO),hbo,,,,
No Account ,Control,R3,5,secretary of state antony blinken: the 60 minutes interview,60 minutes,,left-center,high,high
No Account ,Control,R3,6,nbc nightly news broadcast (full) ,Nbc news ,,left-center,high,high
No Account ,Control,R4,1,the national debt: last week tonight with john oliver (HBo),LastWeekTonight,,,,
No Account ,Control,R4,2,joe arpaio: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R4,3,covid vaccine: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R4,4,psychics: last week tonight with John oliver (hbo),LastWeekTonight,,,,
No Account ,Control,R4,5,john oliver takes the colbert questionert,the late show with stephen colbert ,,,,
No Account ,Control,R4,6,north korea: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R5,1,bankruptcy: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R5,2,long-term care: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R5,3,unemployment: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R5,4,legal immigration: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R5,5,facial recognition: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R5,6,equal rights amendment: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R6,1,border wall II: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R6,2,covid vaccine: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R6,3,republicans lash out at liz cheney for not supporting,late night with seth meyers ,,,,
No Account ,Control,R6,4,long-term care: : last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R6,5,gop and fox news spread an insane new lie about biden Banning Meat: A Closer Look,late night with seth meyers ,,,,
No Account ,Control,R6,6,sheriffs: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R7,1,juries: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R7,2,border wall: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R7,3,election results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R7,4,border patrol: last week tonight with john oliver (HBO),LastWeekTonight,,,,
No Account ,Control,R7,5,"one of trump's biggest scams the foxconn deal, falls apart: A Closer Look",late night with seth meyers ,,,,
No Account ,Control,R7,6,stupid watergate: last week tonight with john oliver (HBO),LastWeekTonight,,,,
Benje,Left,Search,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Benje,Left,Search,2,Election Results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
Benje,Left,Search,3,"John King: If Trump loses here, he's done",cnn,,left ,mixed,medium
